Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0031649~heat generation	7	1.5981735159817352	1.4711936111614213E-7	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	9	11449	21.87906087906088	3.387585219941647E-4	6.608415845184515E-5	6.510853474912577E-5
GOTERM_BP_DIRECT	GO:0045834~positive regulation of lipid metabolic process	7	1.5981735159817352	1.4711936111614213E-7	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	9	11449	21.87906087906088	3.387585219941647E-4	6.608415845184515E-5	6.510853474912577E-5
GOTERM_BP_DIRECT	GO:0008610~lipid biosynthetic process	11	2.5114155251141552	1.7216888871518494E-7	ACLY, ELOVL1, ACSS2, ELOVL2, FASN, ELOVL3, SC5D, ELOVL6, SCD1, ACACA, DEGS1L	407	34	11449	9.100953895071543	3.964263870990248E-4	6.608415845184515E-5	6.510853474912577E-5
GOTERM_MF_DIRECT	GO:0005009~insulin receptor activity	7	1.5981735159817352	1.734490109179623E-7	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	415	9	11355	21.281124497991968	1.4880819124829525E-4	3.7204812841902915E-5	3.6467654545501575E-5
KEGG_PATHWAY	mmu01212:Fatty acid metabolism	14	3.1963470319634704	2.714847731238464E-7	ELOVL1, ELOVL5, ELOVL2, TECR, ELOVL3, ACSL5, ELOVL6, ACAA1B, ACACA, ACAT2, FADS2, FASN, SCD1, FADS1	257	50	5496	5.9878599221789885	8.198505164946912E-5	4.09942007417008E-5	3.936529210295773E-5
GOTERM_BP_DIRECT	GO:0006112~energy reserve metabolic process	8	1.82648401826484	3.3695469150465575E-7	ADGRF1, MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	15	11449	15.002784602784601	7.757057698261072E-4	1.1085809350503174E-4	1.0922145643200914E-4
UP_SEQ_FEATURE	CARBOHYD:N-linked (GlcNAc...) asparagine	98	22.37442922374429	5.410469071184278E-7	SERPINE2, SLC23A1, AQP8, IHH, CLU, C4A, EFEMP1, CDH1, TNFSF10, LEPR, PRSS8, POSTN, FST, F2R, ADAM11, PCOLCE, MR1, TPST2, OLFM3, ABCG2, IGSF8, CPB2, SUCNR1, CHRNA4, SLC1A5, NID2, FBLN5, C2, TMEM25, DPP7, C6, MAN2A2, C9, SERPINH1, SLC38A3, PLTP, IL11RA1, GRIA3, CD276, PRNP, CADM4, FZD7, CELA1, COL1A1, BST2, COL1A2, MAN2B2, COL5A2, CSPG5, H2-Q10, MOXD1, IGHM, COL14A1, SLC2A4, C8B, ROBO1, SERPINA1A, C8G, GM2A, CES2E, ACP5, ACP3, GUSB, HGFAC, MANBA, MME, ELOVL3, ELOVL6, SERPINA1E, CES4A, IL17RB, TGFBR2, MUP3, ADGRF1, MMP15, NRG4, ITIH5, HCN3, COL15A1, LAMA3, H2-Q7, LRP2, ADCY1, SUSD4, GABBR2, LINGO4, F11, SEMA4G, GALC, CD4, P2RX4, LPCAT3, PNPLA3, KCP, CD9, RECK, NECTIN2, PNPLA2	406	1679	11328	1.6285555852210882	6.885157633130801E-4	3.443763563808793E-4	3.430237391130832E-4
GOTERM_BP_DIRECT	GO:0006629~lipid metabolic process	25	5.707762557077626	8.065936917012331E-7	CYP4A12A, CYP4A12B, TNXB, ACSS2, TECR, ACACA, ACAT2, FADS2, SC5D, ACP3, FADS1, DEGS1L, PNPLA7, SRD5A1, MID1IP1, SLC16A11, GPCPD1, FABP1, ACLY, GPAM, FABP5, PNPLA3, THRSP, PNPLA5, PNPLA2	407	218	11449	3.2259427901629736	0.0018558617761020857	2.3219815899849246E-4	2.2877013580876223E-4
GOTERM_BP_DIRECT	GO:0051055~negative regulation of lipid biosynthetic process	7	1.5981735159817352	1.47747745097528E-6	MUP9, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	12	11449	16.409295659295662	0.0033968506875381443	3.780700632884522E-4	3.7248848180699006E-4
UP_KW_BIOLOGICAL_PROCESS	KW-0276~Fatty acid metabolism	18	4.10958904109589	1.6198803624176057E-6	ELOVL1, ELOVL5, ELOVL2, TECR, ELOVL3, ACOT11, ACSL5, ELOVL6, ACAA1B, PTGR1, ACACB, ACACA, FADS2, CYP2C23, FASN, CYP1A2, SCD1, FADS1	239	127	6830	4.050340987711264	1.8950819695862098E-4	4.738150060071497E-5	4.414173987587976E-5
UP_KW_BIOLOGICAL_PROCESS	KW-0752~Steroid biosynthesis	10	2.28310502283105	2.081972060610669E-6	CYP27A1, FDPS, CYB5R3, TECR, PMVK, SC5D, DHCR7, CYP7B1, LSS, TM7SF2	239	35	6830	8.164973102211595	2.4356131879488263E-4	4.871814621828965E-5	4.5386990921312584E-5
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	59	13.470319634703195	2.283943508869637E-6	LMBR1L, MOXD1, UGT2B1, TECR, IHH, FMN1, TM7SF2, FADS2, CYP2D9, NAT8F5, CYP2D11, SCD1, SEC61B, NAT8F7, FADS1, BOK, ELOVL1, ELOVL5, ELOVL2, ELOVL3, DIO1, ACSL5, ELOVL6, CYP7B1, MR1, LSS, MRAP, CYP2U1, TKT, CYP4A12A, CYP4A12B, TMTC2, FITM1, GULO, CYB5R3, RDH11, EMC2, UGT1A5, SC5D, SEC31B, DEGS1L, PNPLA7, SRD5A1, OSBPL3, UGT2B38, UGT2B37, SLC16A11, DHRS7, CD4, NAT8, CYP2C23, GPAM, REEP5, REEP4, LPCAT3, CYP1A2, CYP2D40, CSPG5, DHCR7	417	866	11609	1.896674807959637	9.861781289879357E-4	4.933317979158415E-4	4.819120803714934E-4
GOTERM_BP_DIRECT	GO:0006693~prostaglandin metabolic process	9	2.054794520547945	2.863955534108878E-6	CES2B, CES2C, CES2E, GSTP3, GSTP1, CES2G, AKR1B1, PTGR1, COMT	407	27	11449	9.376740376740376	0.00657399516056234	6.182470863361569E-4	6.091196868852541E-4
GOTERM_BP_DIRECT	GO:0042572~retinol metabolic process	11	2.5114155251141552	2.9529821752921084E-6	FABP1, CES2B, DHRS7, CES2C, CES2E, RDH11, CES2G, CYP1A2, RBP1, AKR1B1, PNPLA2	407	45	11449	6.876276276276276	0.006777655373586988	6.182470863361569E-4	6.091196868852541E-4
GOTERM_BP_DIRECT	GO:0061179~negative regulation of insulin secretion involved in cellular response to glucose stimulus	8	1.82648401826484	3.478927266546221E-6	MUP9, PTPMT1, MUP16, MUP18, MUP11, MUP1, MUP2, MUP3	407	20	11449	11.252088452088453	0.007979973038244603	6.676641245713288E-4	6.578071639827813E-4
