Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0008401~retinoic acid 4-hydroxylase activity	12	2.955665024630542	5.925665063470733E-13	CYP2C37, CYP2C69, CYP2C68, CYP26B1, CYP2C54, CYP2C50, CYP3A13, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38	385	17	11355	20.818945760122233	4.4854220337953166E-10	8.97145690609469E-11	8.746281633682802E-11
UP_SEQ_FEATURE	BINDING:axial binding residue	23	5.665024630541872	9.6718221244574E-13	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CBS, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	379	99	11328	6.943951387223156	1.2264429471997573E-9	1.2263870453811984E-9	1.224452680956307E-9
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	53	13.054187192118228	1.380342608673366E-12	DMGDH, ERO1B, SRXN1, RDH9, GLDC, CPOX, CYP3A13, CYP2C39, CYP2C38, CYP2C37, CYP26B1, SPR, CYP2B10, AOX1, ACADM, ACAD10, MECR, HGD, CYP4A10, CYP4A14, CYP2D26, CYP39A1, RDH16F2, ALDH1A1, CYP2E1, PCYOX1, MAOB, RETSAT, MGST3, AKR1D1, HSD17B12, CYP2B9, SELENBP1, ADH4, PRDX4, CYP2C54, CYP2C50, HAO1, CYP2F2, NQO1, NQO2, CYP2J6, MDH2, GSR, IDH2, FMO1, FMO2, FMO3, CYP3A25, CYP2C29, CYP2C69, ALDH6A1, DUS1L	259	487	6951	2.9207503191076087	9.524347976963554E-11	4.7621819999231126E-11	4.6931648694894446E-11
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	71	17.48768472906404	1.5513352856263814E-12	ERO1B, RDH9, ATP2A2, CYP3A13, MIA3, MAGT1, CYP3A59, CYP2C39, CYP2C38, HERPUD1, CYP2C37, UFL1, CYP26B1, CYP2B10, SLC37A4, UBXN4, TMED7, RAB5IF, EIF5A, CERS6, UGT1A1, CYP4A10, SIGMAR1, CYP4A14, TEX2, PJA2, CYP2D26, CYP39A1, RDH16F2, F830016B08RIK, STIM1, SELENOS, CANX, CYP2E1, ATF6, LRRC59, VCP, RETSAT, GOSR2, DERL3, SEL1L, ILDR2, HSD17B12, HSP90B1, CYP2B9, CYP2C54, ORMDL2, CYP2C50, MLEC, SCAP, CYP2F2, DHRS7L, NUS1, CYP2J6, HSPA5, SEC16A, EDEM1, SYVN1, FMO1, FMO2, FMO3, CYP3A25, CYP2C29, CYP2C69, CLCN5, CYP2C68, AADAC, CYP2A22, CALR, STT3B, SEC24D	386	866	11609	2.465743876317773	6.17423223658875E-10	6.174314436792998E-10	5.957127496805305E-10
GOTERM_MF_DIRECT	GO:0020037~heme binding	24	5.911330049261084	5.8988957239598965E-12	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CBS, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2, HRG	385	117	11355	6.04995004995005	4.465503633532819E-9	7.442440105062736E-10	7.255641740470673E-10
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	24	5.911330049261084	1.4636081508128294E-11	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, CYP2A22, CYP2C50, AOX1, CYP2E1, CYP2F2, CALR	385	122	11355	5.802001277411113	1.107950498013821E-8	1.5827876716647312E-9	1.5430611647140974E-9
KEGG_PATHWAY	mmu00591:Linoleic acid metabolism	14	3.4482758620689653	2.427770249655758E-11	PLA2G12A, CYP2J6, CYP3A13, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2C50, CYP2E1	247	27	5496	11.537561853351328	7.089085762856939E-9	3.5445445644974065E-9	3.41101720076634E-9
UP_KW_LIGAND	KW-0349~Heme	23	5.665024630541872	8.693145905322584E-11	CYP2J6, CYP4A10, CYP3A13, CYP4A14, CYP3A25, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP39A1, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CBS, CYP2B10, CYP2A22, CYP2C50, CYP2E1, CYP2F2	183	107	4586	5.386752464123385	2.6079438608661576E-9	2.6079437715967754E-9	2.5210123125435493E-9
GOTERM_BP_DIRECT	GO:0008202~steroid metabolic process	15	3.6945812807881775	1.2938064907997787E-10	RDH9, AKR1D1, CYP3A13, CYP3A25, CYP3A59, CYP2B9, CYP39A1, RDH16F2, CYP2C69, CYP2C68, CYP2C54, CYP2B10, SULT2A7, CYP2E1, SLC37A4	388	45	11449	9.835910652920962	2.9020068259555387E-7	1.4510039794319517E-7	1.438065914523954E-7
KEGG_PATHWAY	mmu00140:Steroid hormone biosynthesis	19	4.679802955665025	2.120932371191496E-10	UGT1A1, AKR1D1, CYP3A13, CYP3A25, HSD17B12, CYP3A59, CYP2C29, CYP2C39, CYP2C38, CYP2D26, CYP2B9, CYP2C37, CYP2C69, CYP2C68, SULT1E1, CYP2C54, CYP2B10, CYP2C50, CYP2E1	247	65	5496	6.50414201183432	6.193122181752386E-8	2.0643741746263892E-8	1.986606654349368E-8
GOTERM_BP_DIRECT	GO:0006805~xenobiotic metabolic process	18	4.433497536945813	2.1636116152589973E-10	UGT1A1, CYP2J6, FMO1, FMO2, FMO3, CYP2D26, CYP2B9, CYP2C69, CYP26B1, CYP2C68, CYP2C54, CYP2B10, GSTA2, CYP2A22, SULT2A7, AOX1, CYP2E1, CYP2F2	388	73	11449	7.275879113119616	4.852979444969208E-7	1.6176602843419768E-7	1.603236206906917E-7
GOTERM_MF_DIRECT	GO:0034875~caffeine oxidase activity	9	2.2167487684729066	6.999074898464022E-10	CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2C50, CYP3A13, CYP2C29, CYP2C39, CYP2C38	385	12	11355	22.120129870129873	5.298298110245625E-7	6.62287462267158E-8	6.45664659383306E-8
KEGG_PATHWAY	mmu04141:Protein processing in endoplasmic reticulum	28	6.896551724137931	8.700891509145917E-10	ERO1B, VCP, DERL3, SEL1L, MAGT1, HSP90B1, HERPUD1, UBXN4, UGGT1, UBQLN2, PDIA3, HSPA5, EDEM1, SYVN1, PDIA6, PDIA4, DNAJC3, SELENOS, DDIT3, CANX, DNAJB11, PLAA, HYOU1, STT3B, CALR, SEC24D, ATF6, NFE2L2	247	157	5496	3.9683333763119215	2.54065988469776E-7	6.351650801676519E-8	6.112376285175007E-8
KEGG_PATHWAY	mmu00590:Arachidonic acid metabolism	16	3.9408866995073892	1.1052472396296787E-9	PLA2G12A, CYP2J6, EPHX2, CYP4A10, CYP4A14, CYP2C29, CYP2C39, CYP2C38, CYP2B9, CYP2C37, CYP2C69, CYP2C68, CYP2C54, CYP2B10, CYP2C50, CYP2E1	247	48	5496	7.417004048582997	3.2273213845801507E-7	6.454643879437323E-8	6.211489486718795E-8
